,lag,correlation
0,-36,0.13629847935834244
1,-35,0.14654347106088833
2,-34,0.15657436323098517
3,-33,0.16640542723476615
4,-32,0.17604960414867885
5,-31,0.1855186625242166
6,-30,0.19482333366370327
7,-29,0.20397342812101918
8,-28,0.2129779364485123
9,-27,0.2218451166618617
10,-26,0.23058257045606848
11,-25,0.23919730985353047
12,-24,0.20148076965088788
13,-23,0.18035553360746645
14,-22,0.16412605182501652
15,-21,0.15100031680387524
16,-20,0.13997889342423633
17,-19,0.1304557147536303
18,-18,0.12203977969060562
19,-17,0.11446650255502051
20,-16,0.10754991589345889
21,-15,0.1011552070565357
22,-14,0.09518210642184755
23,-13,0.08955440430804944
24,-12,0.09367893102562952
25,-11,0.08890571295325918
26,-10,0.08414984857699095
27,-9,0.07941086674040526
28,-8,0.07468831319977454
29,-7,0.06998174986995254
30,-6,0.06529075411039999
31,-5,0.06061491804886516
32,-4,0.055953847940413026
33,-3,0.05130716355966188
34,-2,0.04667449762422567
35,-1,0.04205549524750683
36,0,0.04114626843893287
37,1,0.04229568970428024
38,2,0.04344174061415442
39,3,0.044584377044719174
40,4,0.04572355409550766
41,5,0.04685922607218995
42,6,0.04799134646887907
43,7,0.049119867949959914
44,8,0.050244742331425896
45,9,0.051365920561707
46,10,0.052483352701972144
47,11,0.05359698790589291
48,12,0.054706774398846005
49,13,0.0541979068238013
50,14,0.053695372872619516
51,15,0.05319926189050463
52,16,0.05270966491744688
53,17,0.05222667472875234
54,18,0.051750385876746546
55,19,0.05128089473368851
56,20,0.050818299535942496
57,21,0.050362700429445205
58,22,0.04991419951651729
59,23,0.04947290090406141
60,24,0.049038910753202235
61,25,0.05146403118121581
62,26,0.053892793893348875
63,27,0.056325254742011256
64,28,0.05876147073216729
65,29,0.06120150005133653
66,30,0.06364540210054088
67,31,0.06609323752623182
68,32,0.06854506825323771
69,33,0.07100095751876039
70,34,0.07346096990747289
71,35,0.07592517138775323
72,36,0.07839362934909198
